mnemonic,variant,description,opcodes,operands,reads,writes,rmw,data_bus_cycles_if_all_memory,operand_detail,confidence
CHKAE,chkar,Check Access Permission,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,review
CHKAE,chkaw,Check Access Permission,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,review
CHKAR,chkae,,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,review
CHKAR,chkar,,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,ok
CHKAR,chkaw,,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,review
CHLVL,chlvl,,4B,2,2,0,0,2,level.b(1B).r ; arg.b(1B).r,review
CLR1,clrl,Clear Bit,A7,2,1,0,1,6,offset.w(4B).r ; base.w(4B).rw,review
CLRTLB,clrtlb,Clear TLB Entry,,1,1,0,0,2,va.p(4B).r,ok
CLRTLBA,clrtlba,Clear All TLB Entries,10,0,0,0,0,0,,ok
CMP,cmp.b,Compare,B8 BA BC,3,3,0,0,3,srcl.b(1B).r ; src2.b(1B).r ; srd.h(2B).r,review
CMP,cmp.h,Compare,B8 BA BC,2,2,0,0,3,src2.h(2B).r ; srd.w(4B).r,review
CMP,cmp.w,Compare,B8 BA BC,1,1,0,0,2,src2.w(4B).r,ok
CMPBF,cmpbfl,Compare Bit Field,5D-00 5D-01 5D-02,3,3,0,0,5,bsrc.w(4B).r ; blen.b(1B).r ; src.w(4B).r,review
CMPBF,cmpbfs,Compare Bit Field,5D-00 5D-01 5D-02,3,3,0,0,5,bsrc.w(4B).r ; blen.b(1B).r ; src.w(4B).r,review
CMPBF,cmpbfz,Compare Bit Field,5D-00 5D-01 5D-02,3,3,0,0,5,bsrc.w(4B).r ; blen.b(1B).r ; src.w(4B).r,review
CMPC,cmpc.b,Compare Character,5A-00,4,4,0,0,4,src.b(1B).r ; slen.b(1B).r ; dst.b(1B).r ; dlen.b(1B).r,review
CMPC,cmpc.b,Compare Character,5A-00,4,4,0,0,4,src.h(2B).r ; slen.b(1B).r ; dst.h(2B).r ; dlen.b(1B).r,review
CMPCF,cmpcf.b,Compare Character with Filler,,4,4,0,0,4,src.b(1B).r ; slen.b(1B).r ; dst.b(1B).r ; dlen.b(1B).r,review
CMPCF,cmpcf.b,Compare Character with Filler,,4,4,0,0,4,src.h(2B).r ; slen.b(1B).r ; dst.h(2B).r ; dlen.b(1B).r,review
CMPCS,cmpcs.b,Compare Character with Stopper,,4,4,0,0,4,src.b(1B).r ; slen.b(1B).r ; dst.b(1B).r ; dlen.b(1B).r,review
CMPCS,cmpcs.b,Compare Character with Stopper,,4,4,0,0,4,src.h(2B).r ; slen.b(1B).r ; dst.h(2B).r ; dlen.b(1B).r,review
CMPF,cmpf.s,Compare Floating,5C-00 5E-00,2,2,0,0,4,srd.s(4B).r ; src2.s(4B).r,review
CMPF,cmpf.l,Compare Floating,5C-00 5E-00,2,2,0,0,8,srd.l(8B).r ; src2.l(8B).r,review
CVT,cvt.ls,Convert,5F-00 5F-01 5F-08 5F-09 5F-10 5F-11,2,1,1,0,6,src.s(4B).r ; dst.l(8B).w,ok
CVT,cvt.lw,Convert,5F-00 5F-01 5F-08 5F-09 5F-10 5F-11,2,1,1,0,6,src.l(8B).r ; dst.s(4B).w,ok
CVTD,cvtd.pz,,59-18,3,2,1,0,3,src.b(1B).r ; dst.h(2B).w ; pat.b(1B).r,review
DBCC,dbcc,,,0,0,0,0,0,,ok
DEC,dec.b,Decrement,,1,0,0,1,2,dst.b(1B).rw,ok
DEC,dec.h,Decrement,,1,0,0,1,2,dst.h(2B).rw,ok
DEC,dec.w,Decrement,,1,0,0,1,4,dst.w(4B).rw,ok
DIV,div.b,,A1 A3 A5,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
DIV,div.h,,A1 A3 A5,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
DIV,div.w,,A1 A3 A5,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
DIVF,divf.s,Divide Floating,5E-1B,2,1,0,1,6,src.s(4B).r ; dst.s(4B).rw,ok
DIVF,divf.l,Divide Floating,5E-1B,2,1,0,1,12,src.l(8B).r ; dst.l(8B).rw,ok
DIVU,divu.b,Unsigned Divide,B1 B3 B5,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
DIVU,divu.h,Unsigned Divide,B1 B3 B5,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
DIVU,divu.w,Unsigned Divide,B1 B3 B5,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
DIVUX,divux,,B6,2,1,0,1,10,src.w(4B).r ; dst.d(8B).rw,ok
